plot_no,variety,trt,block,grain_yield ,ndre_1,ndre_2,ndre_3,ndre_4,ndre_5,ndvi_1,ndvi_2,ndvi_3,ndvi_4,ndvi_5,dry_biomass_yield
101,Bialobrzeskie,56,1,87.53,0.08434186,0.24815227,0.21722181,0.14812084,0.15330611,0.16354886,0.57892495,0.6523472,0.5641646,0.47426525,437.64
102,X-59,224,1,175.05,0.060047753,0.15834762,0.32126546,0.21189038,0.1589045,0.1703388,0.36477622,0.8268096,0.75459427,0.54573435,678.34
103,Bialobrzeskie,168,1,262.58,0.072942846,0.16035296,0.25700736,0.14130892,0.11685455,0.19584288,0.4172353,0.67940587,0.5595036,0.36391822,1378.56
104,X-59,112,1,207.88,0.07291384,0.12146429,0.27887037,0.16430975,0.13355435,0.17664154,0.29156426,0.7053672,0.59174645,0.3905141,634.57
105,Bialobrzeskie,224,1,557.99,0.06077287,0.17330909,0.30981696,0.15885782,0.13003074,0.16134743,0.40576366,0.784556,0.6303219,0.44057074,1876.37
106,X-59,0,1,38.29,0.058835823,0.21104582,0.29898196,0.18005246,0.12479,0.16165672,0.48898754,0.78412783,0.60687876,0.32402715,306.35
107,X-59,280,1,76.59,0.08434186,0.24815227,0.21722181,0.14812084,0.15330611,0.16354886,0.57892495,0.6523472,0.5641646,0.47426525,700.22
108,X-59,56,1,164.11,0.080304176,0.19009401,0.22547619,0.13966797,0.1107909,0.17275976,0.485354,0.5920319,0.4670199,0.2689455,798.69
109,Bialobrzeskie,280,1,207.88,0.06319334,0.097061105,0.25578868,0.1759767,0.12922908,0.18300335,0.19269629,0.63735324,0.64493257,0.33631098,1115.97
110,Bialobrzeskie,112,1,218.82,0.08288761,0.12848826,0.30253753,0.22976604,0.18371017,0.17915927,0.35550982,0.78049535,0.79367673,0.60197455,886.21
111,X-59,168,1,257.11,0.094063744,0.1322158,0.31607097,0.20119105,0.18161932,0.15453497,0.24079734,0.8476518,0.74845713,0.576635,929.98
112,Bialobrzeskie,0,1,76.59,0.09057692,0.12573045,0.2362415,0.23707113,0.21174754,0.14857116,0.24637397,0.628151,0.7706789,0.5959738,601.75
201,Bialobrzeskie,168,2,273.52,0.091730975,0.11641177,0.13972741,0.16465189,0.13655819,0.15216482,0.36467057,0.31350487,0.44897112,0.3334982,1225.38
202,Bialobrzeskie,56,2,98.47,0.10784966,0.30792177,0.2490772,0.18083517,0.18198642,0.1902537,0.6983261,0.71220416,0.64913887,0.5454102,678.34
203,X-59,168,2,251.64,0.07312499,0.22495294,0.2088828,0.22940569,0.16959813,0.16659753,0.55928236,0.561538,0.7042358,0.52858484,875.27
204,X-59,0,2,65.65,0.10135383,0.14840001,0.33809555,0.25660637,0.19053999,0.19133079,0.27284166,0.882994,0.83772075,0.6472599,448.58
205,X-59,56,2,273.52,0.08093971,0.08221818,0.17343538,0.21210244,0.15709637,0.22265446,0.2272309,0.40083992,0.6747684,0.40237632,951.86
206,Bialobrzeskie,224,2,27.35,0.09145455,0.11882082,0.20257172,0.25238577,0.18922833,0.15303862,0.21224166,0.53146744,0.82752854,0.5401322,514.22
207,X-59,112,2,196.94,0.08802112,0.11682579,0.18713394,0.16220425,0.16021456,0.16980845,0.26509836,0.47683042,0.4457064,0.4181254,809.63
208,Bialobrzeskie,112,2,218.82,0.0737619,0.20458852,0.25468835,0.15387413,0.17512666,0.16019765,0.53352624,0.73127854,0.49270338,0.53324664,798.69
209,Bialobrzeskie,0,2,16.41,0.089465804,0.12091267,0.23018573,0.18857814,0.15550943,0.17357369,0.2086778,0.58505905,0.5587728,0.40633598,142.23
210,Bialobrzeskie,280,2,207.88,0.09744783,0.20255665,0.23645082,0.17533919,0.15416071,0.18610147,0.41361332,0.580518,0.60248834,0.43018046,218.82
211,X-59,280,2,557.99,0.094063744,0.1322158,0.31607097,0.20119105,0.18161932,0.15453497,0.24079734,0.8476518,0.74845713,0.576635,1433.26
212,X-59,224,2,590.81,0.09057692,0.12573045,0.2362415,0.23707113,0.21174754,0.14857116,0.24637397,0.628151,0.7706789,0.5959738,1652.08
301,X-59,0,3,43.76,0.097312324,0.12132307,0.23792428,0.19135916,0.14458267,0.15407673,0.16576153,0.658147,0.65644497,0.4065173,153.17
302,Bialobrzeskie,224,3,103.94,0.081414126,0.06647333,0.25665525,0.16711625,0.17478676,0.16240437,0.13563779,0.8120419,0.76188385,0.64502335,754.92
303,X-59,168,3,240.7,0.09051111,0.10660668,0.3311406,0.186303,0.13999014,0.16612591,0.15059999,0.8235125,0.7274546,0.5078459,1006.56
304,Bialobrzeskie,0,3,54.7,0.07255121,0.095706254,0.28819016,0.1737286,0.12939124,0.16555367,0.16163126,0.72956675,0.5102964,0.33834562,306.35
305,Bialobrzeskie,112,3,295.4,0.09135945,0.1337846,0.29758888,0.233275,0.19315615,0.16329731,0.22827505,0.74524003,0.67097086,0.5451773,1449.67
306,X-59,224,3,142.23,0.08712381,0.10507694,0.21374504,0.12206705,0.13228595,0.16141665,0.1407359,0.54776317,0.35781175,0.37154558,612.69
307,Bialobrzeskie,168,3,65.65,0.097312324,0.12132307,0.23792428,0.19135916,0.14458267,0.15407673,0.16576153,0.658147,0.65644497,0.4065173,262.58
308,X-59,112,3,229.76,0.09534278,0.09459668,0.25703225,0.17628573,0.13511403,0.15613082,0.12938334,0.69029176,0.6010674,0.3445912,831.51
309,X-59,280,3,76.59,0.08582553,0.106121436,0.21960168,0.15021285,0.11408184,0.16315743,0.19282143,0.5435086,0.528659,0.26520544,284.46
310,Bialobrzeskie,280,3,421.23,0.07255121,0.095706254,0.28819016,0.1737286,0.12939124,0.16555367,0.16163126,0.72956675,0.5102964,0.33834562,1367.61
311,X-59,56,3,240.7,0.07946333,0.10214376,0.30501795,0.16140918,0.13664463,0.1668467,0.14343956,0.73325825,0.45236918,0.3237447,711.16
312,Bialobrzeskie,56,3,186,0.087269686,0.15834899,0.1830204,0.14968918,0.117661834,0.15738182,0.3053941,0.44478774,0.4252865,0.26230183,1039.39
401,Bialobrzeskie,56,4,65.65,0.09507553,0.18115719,0.18709375,0.21547501,0.15734825,0.1684061,0.3676833,0.4479734,0.6128375,0.40594104,284.46
402,Bialobrzeskie,112,4,186,0,0.12833726,0.2987377,0.19736068,0.20471528,0,0.2409051,0.82266486,0.72512794,0.6433055,1017.51
403,X-59,0,4,10.94,0.34125632,0.1661857,0.2863534,0.20002802,0.16820332,0.17031266,0.36661428,0.7598516,0.7761939,0.5919183,21.88
404,X-59,224,4,109.41,0.094299994,0.09087223,0.3572206,0.20347367,0.18384695,0.1685344,0.19087222,0.8639429,0.80435437,0.6589833,437.64
405,X-59,280,4,158.64,0.08952163,0.21219999,0.23554786,0.19923276,0.18938728,0.15149188,0.5520534,0.5707783,0.5880473,0.53666735,448.58
406,Bialobrzeskie,168,4,229.76,0.089078955,0.12430002,0.28337002,0.21273531,0.18011078,0.15341578,0.22763124,0.8214117,0.73992646,0.6208553,1105.03
407,X-59,168,4,514.22,0.09507553,0.18115719,0.18709375,0.21547501,0.15734825,0.1684061,0.3676833,0.4479734,0.6128375,0.40594104,1280.09
408,Bialobrzeskie,0,4,65.65,0.0988019,0.13838717,0.18317805,0.16948627,0.18331224,0.16711132,0.25350767,0.4240683,0.48627645,0.49610525,382.93
409,X-59,56,4,87.53,0.06803913,0.13315,0.21789542,0.16324887,0.15998068,0.17044783,0.22231303,0.5221561,0.5762325,0.42877555,339.17
410,X-59,112,4,295.4,0.097249456,0.076286666,0.2983242,0.20422123,0.19024481,0.17900707,0.14053999,0.7136848,0.7336606,0.5742569,1181.62
411,Bialobrzeskie,224,4,21.88,0.09210001,0.13892858,0.3751291,0.29450673,0.26719534,0.15743142,0.24921834,0.84067094,0.8478628,0.7316907,295.4
412,Bialobrzeskie,280,4,120.35,0.09642999,0.2531,0.36242905,0.252744,0.23064032,0.16352002,0.58110005,0.8504545,0.81781,0.67995983,1203.5